"compartment","cell_type","cell_type_tissue"
"endothelial","endothelial cell of artery","endothelial cell of artery_Muscle"
"immune","erythrocyte","erythrocyte_Muscle"
"endothelial","endothelial cell of lymphatic vessel","endothelial cell of lymphatic vessel_Muscle"
"immune","T cell","T cell_Muscle"
"stromal","mesothelial cell","mesothelial cell_Muscle"
"immune","macrophage","macrophage_Vasculature"
"stromal","smooth muscle cell","smooth muscle cell_Vasculature"
"stromal","pericyte","pericyte_Vasculature"
"stromal","fibroblast","fibroblast_Vasculature"
"immune","T cell","T cell_Vasculature"
"endothelial","endothelial cell of artery","endothelial cell of artery_Vasculature"
"immune","mature NK T cell","mature NK T cell_Vasculature"
"endothelial","endothelial cell of lymphatic vessel","endothelial cell of lymphatic vessel_Vasculature"
"immune","erythrocyte","erythrocyte_Vasculature"
"endothelial","endothelial cell","endothelial cell_Vasculature"
"immune","plasma cell","plasma cell_Vasculature"
"immune","B cell","B cell_Vasculature"
"immune","plasma cell","plasma cell_Bladder"
"endothelial","capillary endothelial cell","capillary endothelial cell_Bladder"
"endothelial","vein endothelial cell","vein endothelial cell_Bladder"
"immune","mature NK T cell","mature NK T cell_Bladder"
"immune","plasmacytoid dendritic cell","plasmacytoid dendritic cell_Bladder"
"immune","B cell","B cell_Bladder"
"immune","monocyte","monocyte_Blood"
"immune","CD4-positive, alpha-beta T cell","CD4 positive alpha beta T cell_Blood"
"immune","plasmablast","plasmablast_Blood"
"immune","naive B cell","naive B cell_Bone Marrow"
"epithelial","kidney epithelial cell","kidney epithelial cell_Kidney"
"immune","CD8-positive, alpha-beta T cell","CD8 positive alpha beta T cell_Kidney"
"endothelial","endothelial cell","endothelial cell_Kidney"
"immune","macrophage","macrophage_Kidney"
"immune","mature NK T cell","mature NK T cell_Kidney"
"immune","B cell","B cell_Kidney"
"immune","CD4-positive helper T cell","CD4 positive helper T cell_Kidney"
"epithelial","enterocyte","enterocyte_Large Intestine"
"epithelial","intestinal crypt stem cell","intestinal crypt stem cell_Large Intestine"
"epithelial","goblet cell","goblet cell_Large Intestine"
"immune","macrophage","macrophage_Lung"
"epithelial","lung ciliated cell","lung ciliated cell_Lung"
"endothelial","capillary endothelial cell","capillary endothelial cell_Lung"
"stromal","fibroblast","fibroblast_Lung"
"immune","dendritic cell","dendritic cell_Lung"
