"compartment","cell_type","cell_type_tissue"
"stromal","fast muscle cell","fast muscle cell_Muscle"
"endothelial","endothelial cell of vascular tree","endothelial cell of vascular tree_Muscle"
"stromal","slow muscle cell","slow muscle cell_Muscle"
"stromal","tendon cell","tendon cell_Muscle"
"stromal","mesothelial cell","mesothelial cell_Muscle"
"immune","plasmablast","plasmablast_Blood"
"epithelial","kidney epithelial cell","kidney epithelial cell_Kidney"
"epithelial","enterocyte","enterocyte_Large_Intestine"
"epithelial","intestinal crypt stem cell","intestinal crypt stem cell_Large_Intestine"
"epithelial","goblet cell","goblet cell_Large_Intestine"
"epithelial","lung ciliated cell","lung ciliated cell_Lung"
"epithelial","serous cell of epithelium of bronchus","serous cell of epithelium of bronchus_Lung"
"epithelial","type I pneumocyte","type I pneumocyte_Lung"
"stromal","bronchial smooth muscle cell","bronchial smooth muscle cell_Lung"
"endothelial","lung microvascular endothelial cell","lung microvascular endothelial cell_Lung"
"epithelial","pulmonary ionocyte","pulmonary ionocyte_Lung"
"epithelial","pancreatic PP cell","pancreatic PP cell_Pancreas"
"epithelial","pancreatic A cell","pancreatic A cell_Pancreas"
"epithelial","pancreatic D cell","pancreatic D cell_Pancreas"
"epithelial","duodenum glandular cell","duodenum glandular cell_Small_Intestine"
"immune","immature natural killer cell","immature natural killer cell_Thymus"
"immune","thymocyte","thymocyte_Thymus"
"stromal","connective tissue cell","connective tissue cell_Trachea"
